,name,url,freq
https://www.youtube.com/channel/UCklQuH51vyXV_xBhDKlJvEQ,Sasha Alex Sloan - Topic,https://www.youtube.com/channel/UCklQuH51vyXV_xBhDKlJvEQ,7
https://www.youtube.com/channel/UCikqEzbWCBRKj00F_L3EFfg,SYML - Topic,https://www.youtube.com/channel/UCikqEzbWCBRKj00F_L3EFfg,2
https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,Taylor Swift - Topic,https://www.youtube.com/channel/UCPC0L1d253x-KuMNwa05TpA,989
https://www.youtube.com/channel/UCDfnnzgPNShOXOYM9V4QIsQ,Conan Gray - Topic,https://www.youtube.com/channel/UCDfnnzgPNShOXOYM9V4QIsQ,26
https://www.youtube.com/channel/UCE5XNpliPM-SmyFEp61tL_g,Olivia Rodrigo - Topic,https://www.youtube.com/channel/UCE5XNpliPM-SmyFEp61tL_g,114
https://www.youtube.com/channel/UC5sOhxfts379lOCXaIAinyw,Sufjan Stevens - Topic,https://www.youtube.com/channel/UC5sOhxfts379lOCXaIAinyw,39
https://www.youtube.com/channel/UCA3Zs9A2IeetfGT3Omi9ivw,Hozier - Topic,https://www.youtube.com/channel/UCA3Zs9A2IeetfGT3Omi9ivw,6
https://www.youtube.com/channel/UCIMuwfTAzgZ5Dg84TmYxYkA,Cigarettes After Sex - Topic,https://www.youtube.com/channel/UCIMuwfTAzgZ5Dg84TmYxYkA,24
https://www.youtube.com/channel/UCZukHZtjqY72iSEgkBF1QYA,Stephen Sanchez - Topic,https://www.youtube.com/channel/UCZukHZtjqY72iSEgkBF1QYA,36
https://www.youtube.com/channel/UCGjbexoF9La7TxGeFP64m8A,St. Vincent - Topic,https://www.youtube.com/channel/UCGjbexoF9La7TxGeFP64m8A,1
https://www.youtube.com/channel/UCERrDZ8oN0U_n9MphMKERcg,Billie Eilish - Topic,https://www.youtube.com/channel/UCERrDZ8oN0U_n9MphMKERcg,63
https://www.youtube.com/channel/UC1rutLZjmnPqrpx9dHH_BWg,Edith Whiskers - Topic,https://www.youtube.com/channel/UC1rutLZjmnPqrpx9dHH_BWg,2
https://www.youtube.com/channel/UCO_sphdxl8_K6mfXzzmkDGQ,Prateek Kuhad - Topic,https://www.youtube.com/channel/UCO_sphdxl8_K6mfXzzmkDGQ,131
https://www.youtube.com/channel/UCc8dIcu6C_9TcVoM--vYxYQ,Passenger - Topic,https://www.youtube.com/channel/UCc8dIcu6C_9TcVoM--vYxYQ,6
https://www.youtube.com/channel/UCprIJgC2-qqSHNVztFjRFmw,Phoebe Bridgers - Topic,https://www.youtube.com/channel/UCprIJgC2-qqSHNVztFjRFmw,53
https://www.youtube.com/channel/UCFQQ0ljEIel6urDI8eELFuQ,Tropical Murd - Topic,https://www.youtube.com/channel/UCFQQ0ljEIel6urDI8eELFuQ,1
https://www.youtube.com/channel/UCC1TOSYNYXw1xrwNRxW46dg,Lizzy McAlpine - Topic,https://www.youtube.com/channel/UCC1TOSYNYXw1xrwNRxW46dg,39
https://www.youtube.com/channel/UCi8cblgb3PyU8HzGvXWhuEg,Mazzy Star - Topic,https://www.youtube.com/channel/UCi8cblgb3PyU8HzGvXWhuEg,1
https://www.youtube.com/channel/UCQn8h2MBvtbQUvdYBik5dPQ,Chord Overstreet - Topic,https://www.youtube.com/channel/UCQn8h2MBvtbQUvdYBik5dPQ,1
https://www.youtube.com/channel/UCILoG0-vdgLDnrwtRuM_0GQ,Lorde - Topic,https://www.youtube.com/channel/UCILoG0-vdgLDnrwtRuM_0GQ,15
https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,The 1975 - Topic,https://www.youtube.com/channel/UCNrTdctAV0JMT7RBQvpA5lw,88
https://www.youtube.com/channel/UCv4W7oFg_kWGldChEpqs3rA,Tom Rosenthal - Topic,https://www.youtube.com/channel/UCv4W7oFg_kWGldChEpqs3rA,2
https://www.youtube.com/channel/UC-bE9kenHs2wN-p96ESCFIg,Julia Michaels - Topic,https://www.youtube.com/channel/UC-bE9kenHs2wN-p96ESCFIg,6
https://www.youtube.com/channel/UCmNtyqQl03eWyvikCMbO3fA,girl in red - Topic,https://www.youtube.com/channel/UCmNtyqQl03eWyvikCMbO3fA,20
https://www.youtube.com/channel/UCPkh5Z0tfpPpNFi5qybgG_w,LANY - Topic,https://www.youtube.com/channel/UCPkh5Z0tfpPpNFi5qybgG_w,2
https://www.youtube.com/channel/UC8Yu1_yfN5qPh601Y4btsYw,Arctic Monkeys - Topic,https://www.youtube.com/channel/UC8Yu1_yfN5qPh601Y4btsYw,13
https://www.youtube.com/channel/UC1cnYMXqKdazz-gDPKaDFyg,The Neighbourhood - Topic,https://www.youtube.com/channel/UC1cnYMXqKdazz-gDPKaDFyg,6
https://www.youtube.com/channel/UCDXTJp6GlR2jDTy_M09ym3Q,IV of Spades - Topic,https://www.youtube.com/channel/UCDXTJp6GlR2jDTy_M09ym3Q,1
https://www.youtube.com/channel/UCpe3TthvXb8kmRiFbkeDGCQ,Louis Tomlinson - Topic,https://www.youtube.com/channel/UCpe3TthvXb8kmRiFbkeDGCQ,127
https://www.youtube.com/channel/UClYV6hHlupm_S_ObS1W-DYw,The Weeknd - Topic,https://www.youtube.com/channel/UClYV6hHlupm_S_ObS1W-DYw,8
https://www.youtube.com/channel/UCeB_aiCJ16jp1XaSM6OARwA,The Ivy - Topic,https://www.youtube.com/channel/UCeB_aiCJ16jp1XaSM6OARwA,2
https://www.youtube.com/channel/UCxE5jEls-T0QtlTHT8lI1lw,OliviaRodrigoVEVO,https://www.youtube.com/channel/UCxE5jEls-T0QtlTHT8lI1lw,3
https://www.youtube.com/channel/UCFSo2Cozzp0TMWcYaDwWcoA,Zaeden - Topic,https://www.youtube.com/channel/UCFSo2Cozzp0TMWcYaDwWcoA,23
https://www.youtube.com/channel/UC19pnd-F7tw6vDhkmEiAkgA,Amit Trivedi - Topic,https://www.youtube.com/channel/UC19pnd-F7tw6vDhkmEiAkgA,79
https://www.youtube.com/channel/UCSu82recO6iabPJZWBIZC4A,Genevieve Stokes - Topic,https://www.youtube.com/channel/UCSu82recO6iabPJZWBIZC4A,2
https://www.youtube.com/channel/UCIGTpwaV5Vu70z0D0WYwvMg,Daisy Jones & The Six - Topic,https://www.youtube.com/channel/UCIGTpwaV5Vu70z0D0WYwvMg,50
https://www.youtube.com/channel/UCsgkiD7hBojRCSfardAqndQ,Salman Elahi - Topic,https://www.youtube.com/channel/UCsgkiD7hBojRCSfardAqndQ,10
https://www.youtube.com/channel/UCD-0qTYqRd4t9re9AwRydnQ,Enrique Iglesias - Topic,https://www.youtube.com/channel/UCD-0qTYqRd4t9re9AwRydnQ,2
https://www.youtube.com/channel/UCo36OSM_dp0KynQ02zibnsQ,Anuv Jain - Topic,https://www.youtube.com/channel/UCo36OSM_dp0KynQ02zibnsQ,49
https://www.youtube.com/channel/UCE7sUcABs8IoNPJqKmXzEuQ,Zariya - Topic,https://www.youtube.com/channel/UCE7sUcABs8IoNPJqKmXzEuQ,1
https://www.youtube.com/channel/UCCTN01plFzn4npREHKT2_9Q,Pritam - Topic,https://www.youtube.com/channel/UCCTN01plFzn4npREHKT2_9Q,40
